city,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness
nizhniy odes,63.64,54.86,29.64,19.2,96,993,11.36,100
okhotsk,59.38,143.3,8.74,-8.43,88,1011,19.82,5
ahipara,-35.17,173.17,59.83,54.93,82,1004,11.05,93
vaini,-21.2,-175.2,80.6,83.23,74,1012,10.29,20
hofn,64.25,-15.21,41.85,33.51,83,1013,9.89,100
koupela,12.18,-0.35,73.69,65.75,21,1013,7.58,96
wasilla,61.58,-149.44,32.65,27.45,97,992,2.86,90
tuktoyaktuk,69.45,-133.04,12.2,-2.63,92,1000,16.11,75
elektrogorsk,55.88,38.79,30.2,22.32,92,1022,6.71,0
koslan,63.46,48.9,32.22,23.34,96,998,9.19,97
aklavik,68.22,-135.01,17.78,9.64,85,999,4.7,100
cabo san lucas,22.89,-109.91,73.06,70.88,78,1014,13.87,5
mar del plata,-38.0,-57.56,60.44,59.23,93,1022,6.93,75
kavaratti,10.57,72.64,84.25,90.45,74,1013,7.43,1
hilo,19.73,-155.09,73.56,74.25,78,1016,9.17,90
cairns,-16.92,145.77,87.39,80.98,40,1013,17.22,73
haines junction,60.75,-137.51,35.6,23.49,69,996,13.87,100
husavik,66.04,-17.34,32.0,25.92,83,1011,3.36,0
yining,29.04,114.56,68.49,63.28,33,1026,4.7,0
qaqortoq,60.72,-46.03,30.2,24.82,86,975,1.92,100
pemba,-12.97,40.52,77.92,84.13,83,1016,4.7,40
hithadhoo,-0.6,73.08,84.22,88.38,71,1012,9.73,40
santa rita,-7.11,-34.98,75.2,81.14,100,1014,8.05,75
thompson,55.74,-97.86,8.6,-5.3,84,1014,13.87,90
dingle,11.0,122.67,85.14,94.41,74,1008,2.86,38
hit,33.64,42.83,66.36,63.75,56,1018,4.88,72
qaanaaq,77.48,-69.36,-8.05,-19.25,70,1016,7.85,0
westport,41.14,-73.36,47.61,44.71,87,1027,2.64,1
micheweni,-4.97,39.83,78.96,84.51,83,1014,6.87,100
dikson,73.51,80.55,-1.41,-16.1,91,987,14.65,95
havre-saint-pierre,50.23,-63.6,24.8,18.19,92,1025,3.36,90
georgetown,5.41,100.34,83.07,91.06,78,1011,4.7,20
berlevag,70.86,29.09,35.24,23.32,84,1000,14.52,100
clonakilty,51.62,-8.87,53.8,45.9,100,1009,16.11,75
namatanai,-3.67,152.43,84.79,91.87,67,1007,3.42,97
pauini,-7.71,-66.98,76.35,83.3,83,1009,1.95,81
henties bay,-22.12,14.28,57.99,52.38,91,1019,12.95,94
fortuna,40.6,-124.16,41.63,34.77,80,1017,6.93,1
batetskiy,58.65,30.3,33.75,25.99,92,1024,7.36,0
kudahuvadhoo,2.67,72.89,83.89,89.94,71,1013,6.08,46
kapaa,22.08,-159.32,79.11,77.97,69,1016,13.87,75
charyshskoye,51.4,83.56,36.19,29.73,89,1016,5.46,100
arraial do cabo,-22.97,-42.03,73.9,77.86,93,1016,8.12,70
launceston,-41.45,147.17,68.99,60.37,49,1024,14.99,40
upernavik,72.79,-56.15,-6.07,-18.35,76,1006,9.93,0
chokurdakh,70.63,147.92,-13.74,-22.45,91,1020,3.42,98
potosi,-19.58,-65.75,44.51,39.67,68,1017,2.95,90
mogadishu,2.04,45.34,79.29,84.15,81,1014,7.67,77
terrace bay,48.78,-87.1,55.4,49.06,82,1014,11.41,54
tarakan,3.3,117.63,83.03,89.2,76,1008,7.07,56
sorland,67.67,12.69,44.6,28.29,65,1016,23.04,75
bredasdorp,-34.53,20.04,46.4,43.09,81,1026,2.24,54
maridi,4.92,29.47,68.09,71.44,86,1012,2.51,96
zharkent,44.16,80.0,51.75,46.17,44,1027,3.18,100
new norfolk,-42.78,147.06,76.14,72.36,28,1021,3.0,37
harper,4.38,-7.72,78.1,84.09,84,1012,5.57,96
atuona,-9.8,-139.03,77.67,75.27,64,1012,13.27,58
nelson bay,-32.72,152.15,68.49,61.0,49,1025,12.75,40
nokaneng,-19.67,22.27,74.14,74.35,56,1011,3.8,78
victoria,22.29,114.16,75.54,74.7,45,1017,3.0,83
kaitangata,-46.28,169.85,52.0,44.17,71,1020,11.01,97
maltahohe,-24.83,16.98,55.53,49.41,58,1018,7.27,77
ilulissat,69.22,-51.1,15.8,6.28,52,997,5.82,100
aykhal,66.0,111.5,1.4,-8.72,91,1000,6.71,90
san cristobal cucho,14.9,-91.78,64.67,67.78,97,1010,2.95,100
ecuandureo,20.17,-102.18,59.34,58.3,74,1017,2.53,19
vila franca do campo,37.72,-25.43,60.8,58.89,77,1023,5.32,75
comodoro rivadavia,-45.87,-67.5,66.2,59.94,42,1015,8.05,0
grindavik,63.84,-22.43,42.8,29.05,93,1006,20.8,90
mahebourg,-20.41,57.7,75.2,76.37,88,1022,12.75,75
provideniya,64.38,-173.3,32.0,22.05,98,1006,11.18,90
kikwit,-5.04,18.82,69.94,76.68,97,1012,0.76,100
clyde river,70.47,-68.59,-2.2,-19.1,77,1012,18.34,1
constitucion,-35.33,-72.42,55.74,50.49,71,1017,7.87,63
changping,40.22,116.22,56.68,49.98,19,1027,2.24,0
severo-kurilsk,50.68,156.12,35.28,21.02,87,996,18.9,100
moose factory,51.26,-80.61,34.7,29.37,93,1014,3.36,90
kodinsk,58.69,99.18,38.62,30.92,79,1004,7.52,100
norman wells,65.28,-126.83,15.8,7.65,92,997,4.7,75
el alto,-4.27,-81.21,61.95,56.7,86,1014,13.69,32
flin flon,54.77,-101.86,12.61,-3.69,95,1012,18.86,100
khatanga,71.97,102.5,11.08,-4.32,92,988,17.02,100
austin,30.27,-97.74,68.32,68.07,73,1014,5.82,20
vao,-22.67,167.48,70.72,64.29,77,1014,19.42,12
avera,33.19,-82.53,67.06,69.37,100,1023,6.93,75
biak,-0.91,122.88,85.53,86.7,56,1009,9.73,36
saeby,57.33,10.52,44.01,41.38,98,1025,1.99,82
bosaso,11.28,49.18,79.32,85.93,74,1018,2.1,44
bukene,-4.23,32.88,71.65,70.97,63,1014,5.99,92
lakatoro,-16.1,167.42,84.2,93.09,79,1008,4.7,75
kijang,35.24,129.21,55.4,39.29,9,1024,17.22,0
point pedro,9.82,80.23,83.59,82.9,72,1013,18.14,47
slobodskoy,58.73,50.18,33.04,22.35,91,1004,12.33,100
iqaluit,63.75,-68.51,15.39,-0.11,78,1013,17.22,90
ostrovnoy,68.05,39.51,32.2,15.6,94,999,22.77,100
faya,18.39,42.45,57.18,54.5,66,1028,3.09,0
sibolga,1.74,98.78,83.7,91.09,72,1011,3.91,100
manyana,-23.4,21.72,77.77,74.77,38,1012,5.53,98
axim,4.87,-2.24,77.72,84.02,84,1012,4.68,96
marawi,8.0,124.29,84.0,92.12,77,1008,5.01,37
price,39.6,-110.81,28.4,20.62,86,1004,5.82,40
muhos,64.81,25.99,38.59,26.71,80,1011,14.99,0
port alfred,-33.59,26.89,62.19,55.65,85,1021,15.88,100
la ronge,55.1,-105.28,14.0,0.95,78,1018,12.75,100
alyangula,-13.85,136.42,93.2,95.94,52,1010,11.41,40
souillac,-20.52,57.52,75.2,76.37,88,1022,12.75,75
payakumbuh,-0.22,100.63,77.38,83.14,75,1011,2.28,100
kiama,-34.68,150.87,67.55,62.71,62,1025,10.83,17
carnarvon,-24.87,113.63,75.2,69.55,53,1014,13.87,90
birao,10.28,22.79,70.0,66.07,40,1012,4.72,16
uinskoye,56.88,56.58,31.62,20.55,96,999,12.95,100
wanaka,-44.7,169.15,56.44,51.53,56,1017,5.1,86
vangaindrano,-23.35,47.6,74.35,76.91,82,1022,7.7,9
camacha,33.08,-16.33,62.6,62.35,77,1023,3.36,40
lubango,-14.92,13.49,65.59,59.88,35,1013,5.28,39
gualaceo,-2.9,-78.78,48.2,46.18,100,1029,2.89,58
riyadh,24.69,46.72,64.4,60.98,68,1021,8.05,0
novobirilyussy,56.95,90.67,40.35,29.64,81,1005,13.49,100
sarakhs,36.54,61.16,48.2,46.54,100,1032,2.24,97
san patricio,28.02,-97.52,71.85,73.38,88,1014,9.17,20
isernia,41.6,14.24,52.9,50.59,87,1023,3.83,0
uyovu,-3.28,31.53,65.93,69.82,91,1014,1.14,95
bayan,46.08,127.4,26.82,15.71,69,1022,10.54,0
tiznit,29.58,-9.5,58.87,57.87,67,1019,0.98,0
cidreira,-30.18,-50.21,68.02,64.33,85,1017,14.7,96
houston,29.76,-95.36,70.81,70.12,94,1015,13.87,90
ode,7.79,5.71,70.18,74.3,87,1012,2.95,2
pevek,69.7,170.31,17.76,10.42,94,1013,3.6,100
ketchikan,55.34,-131.65,37.02,20.97,93,1019,23.04,90
klaksvik,62.23,-6.59,48.2,39.99,100,1014,13.87,100
mantua,45.17,10.78,43.52,40.14,100,1023,3.36,6
asau,46.43,26.4,36.77,31.39,70,1027,2.24,0
bergen,60.39,5.33,41.16,29.46,100,1025,17.22,0
santa isabel do rio negro,-0.41,-65.02,73.08,80.53,98,1011,2.62,100
nechi,8.09,-74.78,74.97,82.78,96,1012,3.22,100
svetlaya,46.54,138.33,35.37,27.45,69,1010,6.38,44
torbay,47.67,-52.73,31.96,21.65,74,1024,10.29,20
daru,-9.08,143.21,78.89,81.5,90,1008,14.47,100
richards bay,-28.78,32.04,73.44,76.33,86,1017,7.52,90
ca mau,9.18,105.15,85.14,89.83,63,1009,6.22,84
orje,59.48,11.66,33.62,29.19,96,1023,1.68,100
kirakira,-10.45,161.92,83.82,92.5,75,1007,3.02,93
keetmanshoop,-26.58,18.13,53.6,44.71,66,1024,12.75,0
danville,36.59,-79.39,58.78,59.31,93,1029,2.86,1
miranda,3.25,-76.23,73.4,75.07,73,1017,5.82,75
lebu,-37.62,-73.65,51.69,40.91,92,1020,19.04,41
northam,51.03,-4.22,55.0,51.51,94,1015,8.01,53
guerrero negro,27.98,-114.06,63.68,57.15,61,1015,11.74,77
airai,-8.93,125.41,80.56,77.88,41,1009,7.31,85
alice springs,-23.7,133.88,100.4,92.59,10,1012,8.05,0
kasongo,-4.45,26.67,67.89,73.11,99,1012,2.21,100
belmonte,-15.86,-38.88,75.2,80.78,83,1016,3.36,40
caceres,39.52,-6.37,54.0,53.51,97,1019,2.59,32
cayenne,4.93,-52.33,78.8,89.06,94,1012,2.24,40
kloulklubed,7.04,134.26,86.0,91.85,70,1009,8.05,75
sioux lookout,50.1,-91.92,57.2,50.56,67,1005,10.29,5
butaritari,3.07,172.79,82.11,84.25,65,1008,8.99,1
moroni,-11.7,43.26,79.52,86.02,74,1015,2.46,100
margate,51.38,1.39,56.28,56.39,92,1014,1.99,100
hackettstown,40.85,-74.83,49.32,47.97,93,1028,1.32,0
wilmington,34.23,-77.94,68.49,68.52,88,1026,9.17,1
kolpashevo,58.31,82.91,34.38,21.34,89,997,16.64,92
laguna,38.42,-121.42,48.79,36.79,34,1012,12.75,1
san fernando,15.03,120.69,78.8,85.21,88,1011,6.93,90
bastrop,32.76,-91.87,66.92,69.49,93,1019,4.7,40
tasiilaq,65.61,-37.64,33.13,12.0,95,989,31.14,100
san luis,-33.3,-66.34,64.4,60.21,72,1019,10.29,75
mount isa,-20.73,139.5,98.6,91.72,8,1011,4.7,0
anadyr,64.75,177.48,9.39,0.95,92,1006,4.47,20
boa vista,2.82,-60.67,75.2,83.35,94,1013,2.24,75
broome,42.25,-75.83,49.66,44.17,50,1028,3.36,1
jamestown,42.1,-79.24,53.15,47.8,50,1028,3.96,1
luwuk,-0.95,122.79,87.94,89.17,50,1009,8.75,27
husnicioara,44.68,22.84,42.57,39.47,82,1025,0.72,4
balykshi,47.07,51.87,44.6,30.87,81,1018,20.13,75
bathsheba,13.22,-59.52,80.6,83.73,83,1013,12.75,75
ribeira grande,38.52,-28.7,61.65,53.56,63,1021,13.98,65
leshukonskoye,64.9,45.76,34.0,24.96,92,999,9.69,99
keti bandar,24.14,67.45,82.45,79.97,39,1017,7.16,0
opuwo,-18.06,13.84,61.95,59.41,53,1015,2.28,13
bilasipara,26.23,90.23,74.97,73.27,67,1018,11.07,1
kamen-rybolov,44.75,132.04,27.97,17.58,87,1018,10.4,100
lorengau,-2.02,147.27,84.36,91.02,68,1007,4.18,53
san vicente,-26.62,-54.13,67.71,66.97,58,1011,2.66,85
sibenik,43.73,15.91,51.8,45.82,66,1022,6.93,0
khlung,12.45,102.22,86.81,81.57,58,1013,23.04,66
kiunga,-6.12,141.29,92.66,99.3,52,1007,4.0,42
chicama,-7.84,-79.15,60.96,60.71,85,1017,4.03,39
fort nelson,58.81,-122.7,14.0,6.98,85,1009,2.24,75
bethel,41.37,-73.41,47.48,44.71,87,1028,2.37,1
vega de alatorre,20.03,-96.63,75.52,79.09,74,1016,4.36,52
hasaki,35.73,140.83,62.65,52.36,29,1012,11.41,75
contamana,-7.33,-75.02,77.23,82.02,69,1010,1.88,99
chihuahua,28.5,-106.0,69.62,58.37,30,1016,14.99,40
atar,20.52,-13.05,81.64,74.77,16,1014,5.61,87
mount gambier,-37.83,140.77,86.0,76.51,22,1017,13.87,100
bull savanna,17.89,-77.59,76.87,84.0,90,1009,4.43,100
vilcun,-38.65,-72.23,51.8,49.1,100,1022,5.82,90
calama,-22.47,-68.93,50.0,36.3,18,1027,13.87,0
aleksandrovskoye,44.71,43.0,32.0,22.69,81,1026,8.95,0
zalantun,48.0,122.72,26.94,16.11,67,1024,9.95,0
terrace,54.52,-128.6,30.2,25.09,80,1022,1.1,90
elbrus,43.26,42.64,35.17,29.23,60,1025,2.15,0
bellevue,47.61,-122.2,37.24,31.01,64,1023,3.36,1
eagle pass,28.71,-100.5,70.0,70.9,66,1012,3.0,0
hobyo,5.35,48.53,81.84,83.43,76,1015,14.07,98
serenje,-13.23,30.24,67.08,64.22,55,1014,5.41,7
ballina,-28.87,153.57,71.74,64.92,64,1024,17.22,90
banepa,27.63,85.52,62.6,61.77,63,1025,1.54,20
naryan-mar,67.67,53.09,27.75,19.15,98,993,7.78,81
angatuba,-23.49,-48.41,62.17,61.57,86,1015,5.53,16
panji,-7.73,114.1,94.46,99.72,41,1010,1.72,98
nouadhibou,20.93,-17.03,69.8,63.55,68,1016,16.11,0
serta,39.81,-8.1,53.01,52.56,95,1020,1.74,57
lata,40.16,-8.33,52.99,51.21,93,1018,3.8,8
vostok,46.49,135.88,18.84,7.95,90,1014,9.91,88
bodden town,19.28,-81.25,81.77,80.47,74,1006,18.34,20
praia da vitoria,38.73,-27.07,51.8,47.59,87,1023,6.73,20
leh,34.17,77.58,37.92,32.05,43,1028,1.14,2
vestmannaeyjar,63.44,-20.27,44.87,25.43,80,1008,30.24,100
coquimbo,-29.95,-71.34,55.4,55.29,87,1016,1.12,0
bailieborough,53.92,-6.97,53.01,51.04,92,1014,4.0,88
alcudia,39.85,3.12,55.38,55.8,100,1021,2.24,97
gornopravdinsk,60.05,69.9,28.85,23.18,98,984,2.84,100
fengcheng,40.45,124.07,45.81,36.46,45,1025,8.77,1
saint-georges,12.06,-61.75,82.4,81.43,83,1012,21.92,20
tateyama,34.98,139.87,63.0,58.93,55,1012,5.82,40
nador,35.17,-2.93,54.72,51.15,87,1021,6.93,0
ratnagiri,16.98,73.3,80.87,78.42,47,1016,9.33,0
valentin gomez farias,28.22,-106.58,68.0,63.52,44,1010,5.99,0
dubovskoye,47.41,42.76,46.02,38.44,88,1022,10.47,35
conceicao do araguaia,-8.26,-49.26,77.5,83.95,76,1010,1.5,9
marsh harbour,26.54,-77.06,78.17,71.6,85,1011,28.32,100
moron,-34.65,-58.62,69.24,69.51,79,1018,7.0,100
zhoucheng,35.91,116.31,62.82,55.06,28,1027,6.76,20
balabac,7.99,117.06,83.97,86.68,73,1007,12.91,79
butembo,0.15,29.28,56.77,57.69,100,1015,2.15,100
mweka,-4.85,21.57,68.77,74.71,100,1012,1.92,100
sunbury,-37.58,144.73,79.36,69.8,30,1021,14.99,0
muros,42.78,-9.06,52.39,50.5,100,1017,4.7,75
saskylakh,71.92,114.08,-4.05,-20.72,86,1005,17.94,92
yulara,-25.24,130.99,98.6,85.89,13,1011,18.34,1
deputatskiy,69.3,139.9,-16.4,-25.11,89,1022,3.33,26
luderitz,-26.65,15.16,57.97,44.19,76,1020,24.85,0
mokhsogollokh,61.47,128.92,-3.32,-11.22,89,1022,2.46,100
bonthe,7.53,-12.51,77.13,85.01,87,1012,2.33,89
nantucket,41.28,-70.1,48.2,46.02,93,1028,2.33,1
brae,60.4,-1.35,51.8,44.65,93,1018,12.75,100
nizhniy kuranakh,58.84,125.49,6.84,-0.76,87,1024,2.59,9
asyut,27.18,31.18,57.2,54.09,71,1018,4.7,0
katobu,-4.94,122.53,92.8,96.37,41,1009,3.51,38
waipawa,-41.41,175.52,54.36,37.92,66,1016,26.4,99
kodiak,57.79,-152.41,44.6,23.99,48,999,28.86,1
labuhan,-6.88,112.21,91.0,96.67,49,1010,2.73,79
gizo,-8.1,156.84,84.54,93.16,70,1007,1.7,79
zima,53.92,102.04,35.98,28.18,82,1013,7.25,10
adrar,20.5,-10.07,77.54,70.05,18,1015,6.6,16
coreau,-3.53,-40.66,77.25,82.04,77,1011,4.56,17
bandarbeyla,9.49,50.81,78.84,77.23,76,1017,16.96,9
sibi,29.54,67.88,80.04,74.43,16,1020,3.06,0
tazmalt,36.39,4.4,66.2,56.03,42,1019,14.99,0
ugoofaaru,5.67,73.0,84.02,89.42,72,1013,7.76,79
kieta,-6.22,155.63,83.48,90.72,73,1006,4.41,66
polis,35.04,32.43,64.2,54.77,46,1016,13.87,40
davidson,36.15,-86.78,64.67,64.33,77,1022,4.7,75
prince george,53.92,-122.75,20.05,13.46,85,1021,2.24,1
portree,57.41,-6.19,52.0,47.03,86,1014,8.01,100
kahului,20.89,-156.47,74.23,65.98,58,1014,19.46,1
faanui,-16.48,-151.75,78.12,76.91,79,1012,16.64,91
chapleau,47.84,-83.4,54.82,48.6,86,1019,11.54,59
matara,5.95,80.54,85.95,93.83,67,1012,3.04,3
moree,-29.47,149.85,82.4,77.74,26,1021,5.82,40
srednekolymsk,67.45,153.68,-6.05,-15.11,91,1019,4.38,99
lincoln,40.8,-96.67,65.64,51.62,63,1010,26.4,1
kesova gora,57.58,37.29,31.37,20.66,96,1020,12.26,0
itarantim,-15.66,-40.07,65.16,69.28,97,1017,1.52,31
amberley,39.2,-84.43,59.52,58.77,87,1025,4.45,1
antofagasta,-23.65,-70.4,60.8,57.9,82,1016,8.05,90
soyo,-6.13,12.37,77.45,82.11,85,1013,7.67,100
mendoza,-32.89,-68.83,66.2,64.58,68,1020,5.82,20
asfi,32.3,-9.24,63.7,61.61,73,1021,6.4,13
bilibino,68.05,166.44,-1.62,-8.57,90,1015,0.87,96
leningradskiy,69.38,178.42,19.83,10.98,94,1013,6.58,100
san jose,37.34,-121.89,41.99,36.5,81,1013,4.7,1
kununurra,-15.77,128.73,102.2,103.51,27,1008,4.7,34
okha,53.57,142.95,26.85,8.33,96,1004,25.12,100
belen,36.49,36.22,53.6,50.41,71,1020,3.36,0
noumea,-22.28,166.46,78.8,69.84,50,1013,20.8,47
terra nova,-12.37,-40.67,66.96,68.54,93,1017,6.46,17
paramonga,-10.67,-77.83,61.56,59.63,86,1018,7.54,61
bilma,18.69,12.92,65.16,54.46,42,1017,15.57,0
shestakovo,56.49,103.96,37.72,29.95,79,1012,7.4,12
cherskiy,68.75,161.3,1.89,-6.12,93,1016,3.04,98
cabra,37.47,-4.44,52.0,50.36,85,1020,1.95,84
vieques,18.43,-65.83,73.81,80.83,100,1015,4.7,40
birjand,32.87,59.22,39.2,31.55,32,1026,3.53,0
wrzesnia,52.33,17.57,42.04,34.86,84,1027,8.01,0
east london,-33.02,27.91,59.0,55.4,93,1022,10.29,75
vanimo,-2.67,141.3,86.09,91.49,66,1007,7.16,36
tataranu,45.52,27.32,45.34,39.27,73,1026,5.91,0
katsuura,35.13,140.3,60.58,54.81,38,1012,4.7,75
nicoya,10.15,-85.45,75.2,84.42,100,1013,2.24,75
ixtapa,20.7,-105.2,78.91,84.65,78,1013,4.7,5
atlantic city,39.36,-74.42,53.29,51.12,93,1028,4.68,1
touros,-5.2,-35.46,75.2,82.72,94,1014,3.36,75
makiyivka,48.05,37.93,46.18,40.89,88,1023,6.49,49
prince rupert,54.32,-130.32,40.24,33.62,64,1021,4.7,90
purpe,64.48,76.69,27.0,17.53,94,977,8.97,100
wanning,18.8,110.4,76.1,70.81,75,1016,20.85,85
alghero,40.56,8.32,53.4,53.2,100,1023,2.24,58
andenes,69.31,16.12,40.6,17.82,75,1010,34.45,85
port lincoln,-34.73,135.87,75.88,65.98,35,1012,16.04,28
taoudenni,22.68,-3.98,76.14,68.09,18,1016,7.31,61
pahrump,36.21,-115.98,39.69,31.57,73,1005,8.01,19
esperance,-33.87,121.9,91.4,81.91,27,1000,18.34,40
broken hill,-31.95,141.43,89.6,81.95,19,1016,10.29,40
mayya,61.73,130.28,2.35,-6.52,84,1018,4.47,75
petropavlovsk-kamchatskiy,53.05,158.65,33.8,25.92,47,1000,4.47,0
tuatapere,-46.13,167.68,55.99,49.6,71,1022,10.0,98
mitsamiouli,-11.38,43.28,80.29,81.63,77,1015,13.42,99
weyburn,49.67,-103.85,19.4,13.39,85,1003,1.12,100
shubarkuduk,49.14,56.49,43.5,30.78,80,1013,17.92,99
roald,62.58,6.13,43.18,37.08,100,1025,8.05,100
viedma,-40.81,-63.0,57.99,53.19,91,1019,11.5,52
kultuk,51.72,103.7,43.52,38.44,67,1017,3.0,0
svetlogorsk,52.63,29.73,38.25,33.22,96,1027,4.05,6
sistranda,63.73,8.83,44.6,37.4,87,1025,9.17,75
lasa,46.62,10.7,35.6,27.97,53,1025,4.7,5
boca do acre,-8.75,-67.4,77.38,83.43,75,1009,1.77,48
kuytun,54.34,101.5,33.89,26.42,89,1013,6.67,21
manjeshwar,12.72,74.89,84.2,89.98,79,1014,10.22,20
macusani,-14.08,-70.43,35.11,30.27,86,1020,2.08,62
iracoubo,5.48,-53.2,78.93,81.68,83,1012,11.77,1
basco,20.45,121.97,78.82,69.55,83,1014,33.02,68
erenhot,43.65,111.98,40.69,32.61,55,1026,6.55,0
batesville,35.77,-91.64,68.92,69.46,77,1020,5.82,90
buchanan,5.88,-10.05,77.0,85.77,94,1012,2.95,75
la seyne-sur-mer,43.1,5.88,58.01,56.97,92,1022,5.01,85
eureka,40.8,-124.16,41.86,35.56,52,1017,3.36,1
fairbanks,64.84,-147.72,31.64,24.67,98,990,5.82,90
kapoeta,4.77,33.59,73.11,72.23,82,1014,12.77,86
pedernales,18.04,-71.74,79.34,84.7,71,1013,3.24,100
miandrivazo,-19.52,45.47,83.82,87.37,55,1018,3.8,94
challans,46.84,-1.87,55.6,51.55,93,1016,9.17,0
castanos,26.78,-101.42,73.99,75.06,52,1023,1.01,0
bayji,34.93,43.49,68.27,64.87,59,1019,7.92,12
luangwa,-15.62,30.42,80.42,78.26,31,1012,2.59,19
kamaishi,39.27,141.88,42.8,37.11,75,1011,4.7,75
maldonado,-34.67,-54.92,59.32,57.72,93,1021,6.93,0
maumere,-8.62,122.21,87.89,93.38,59,1009,5.41,97
apastovo,55.2,48.51,33.8,21.92,74,1009,13.42,75
geraldton,-28.77,114.6,73.4,61.95,60,1008,25.28,90
farafangana,-22.82,47.83,75.15,75.94,77,1022,9.93,7
miraflores,19.22,-98.81,64.18,59.4,52,1027,6.93,20
dogondoutchi,13.64,4.03,74.39,65.98,21,1014,8.55,70
korla,41.76,86.15,49.3,42.76,40,1022,3.85,9
port elizabeth,-33.92,25.57,57.2,51.01,93,1022,13.87,75
san policarpo,12.18,125.51,85.3,91.35,73,1007,8.3,83
guaruja,-23.99,-46.26,73.0,68.9,26,1012,2.08,14
quatre cocos,-20.21,57.76,76.14,77.79,88,1022,12.75,75
esso,55.93,158.7,12.96,6.12,84,1002,1.79,59
sitka,57.05,-135.33,44.6,27.0,75,1006,26.4,90
nurota,40.56,65.69,44.6,40.28,93,1032,4.7,90
toora-khem,52.47,96.11,32.36,27.3,88,1020,1.95,51
vila velha,-20.33,-40.29,75.09,78.22,88,1016,9.17,40
mayo,38.89,-76.51,56.55,56.1,100,1028,4.45,1
ola,59.58,151.28,11.89,-2.58,86,1009,15.28,87
chilmari,25.56,89.67,77.18,77.85,64,1016,7.49,0
isangel,-19.55,169.27,77.0,80.53,78,1011,6.93,90
leshan,29.56,103.76,72.86,71.02,47,1024,4.12,6
